Id,What is your age?,What is your gender?,What best describes your relationship status?,"On a scale of 1-15, 1 being not religious at all, and 15 being very religious, please identify how religious you are:",What is your highest level of education?,What is your gross annual household income?,What country/culture do you most identify with? (ex. Canada/Canadian),"On a scale of 1-15, 1 being not at all and 15 being completely, how important is having children to you?",10) What is your ideal number of children?,How many biological children do you have?,How many biological siblings do you have?,"On a scale of 1-15 (1 being no influence, 15 being very influential) how much influence do you have over family planning decisions?",Rank the factors that most influence your decision to have biological children and rank them from 1- 8 (1 being most influential and 8 being least influential):,Standardized_Religion
316,45-49,Female,Married,4,Bachelor,"$200,000 � $249,999",Canadian ,15,Three,Two,Two,15,Personal Choice;Relationship Status (or lack thereof);Income;Significant Other�s Opinion;Time/Help Availability;Personal Health;Employment Status;Religion,Sikh
317,70+,Male,Common-law,6,Trades: Journeyman,"$50,000 � $74,999",Canadian ,15,Three,Three,Three,10,Personal Health;Income;Employment Status;Personal Choice;Relationship Status (or lack thereof);Time/Help Availability;Religion;Significant Other�s Opinion,
322,25-29,Male,Single,15,Bachelor,"$50,000 � $74,999",Korean,15,Four,Zero,Three,10,Religion;Significant Other�s Opinion;Personal Choice;Personal Health;Income;Employment Status;Relationship Status (or lack thereof);Time/Help Availability,Christian
326,30-34,Female,Married,9,Master,"$75,000 � $99,999",Canadian,15,Three,Two,Two,15,Personal Choice;Time/Help Availability;Personal Health;Significant Other�s Opinion;Income;Employment Status;Religion;Relationship Status (or lack thereof),Sikh
327,30-34,Female,Married,5,Master,"$50,000 � $74,999",Korean,15,Three,Zero,,15,Employment Status;Religion;Significant Other�s Opinion;Income;Personal Choice;Relationship Status (or lack thereof);Time/Help Availability;Personal Health,
329,45-49,Female,Single,1,High School Diploma,"Under $50,000",Canada,15,Two,Two,Two,15,Income;Personal Choice;Personal Health;Employment Status;Time/Help Availability;Relationship Status (or lack thereof);Significant Other�s Opinion;Religion,None
330,70+,Female,Married,15,High School Diploma,,Germany,15,Three,Three,Two,15,Personal Choice;Religion;Income;Significant Other�s Opinion;Personal Health;Time/Help Availability;Relationship Status (or lack thereof);Employment Status,Catholic
331,60-64,Male,Widow,5,Trades: Journeyman,"$50,000 � $74,999",Armenia,15,Two,Two,Four,15,Religion;Personal Choice;Significant Other�s Opinion;Personal Health;Time/Help Availability;Relationship Status (or lack thereof);Employment Status;Income,Christian
332,30-34,Male,Single,2,Bachelor,"$75,000 � $99,999",Canada,15,Two,Zero,One,15,Relationship Status (or lack thereof);Personal Choice;Personal Health;Income;Significant Other�s Opinion;Employment Status;Time/Help Availability;Religion,Christian
154,45-49,Female,Divorced,3,Master,"$250,000 � $299,999",Canada,2,Three,Seven or more,One,7,Personal Choice;Income;Time/Help Availability;Employment Status;Personal Health;Relationship Status (or lack thereof);Religion;Significant Other�s Opinion,
44,19-24,Female,In a relationship,1,Bachelor,"Under $50,000",Canadian,2,Zero,Zero,Three,15,Income;Employment Status;Personal Health;Time/Help Availability;Personal Choice;Relationship Status (or lack thereof);Significant Other�s Opinion;Religion;,Atheist
177,50-54,Female,Single,3,Master,"$100,000 � $149,999",Australia,2,One,Zero,Two,13,Income;Personal Health;Time/Help Availability;Relationship Status (or lack thereof);Religion;Employment Status;Personal Choice;Significant Other�s Opinion,Buddhist
144,40-44,Female,Married,1,Master,"$50,000 � $74,999",canada ,2,Zero,One,Zero,5,Income;Employment Status;Personal Health;Relationship Status (or lack thereof);Personal Choice;Time/Help Availability;Significant Other�s Opinion;Religion,None
314,50-54,Male,Common-law,8,High School Diploma,"$75,000 � $99,999",Canada/german,2,Zero,Zero,One,9,Personal Choice;Income;Time/Help Availability;Significant Other�s Opinion;Personal Health;Relationship Status (or lack thereof);Employment Status;Religion,Spiritual
145,19-24,Female,Single,1,No High School Diploma,"$100,000 � $149,999",Canada,3,Two,Four,Four,3,Personal Health;Personal Choice;Income;Time/Help Availability;Religion;Employment Status;Relationship Status (or lack thereof);Significant Other�s Opinion,
206,55-59,Female,Single,13,Bachelor,"$50,000 � $74,999",Canada,3,Two,Zero,One,12,Religion;Income;Time/Help Availability;Significant Other�s Opinion;Employment Status;Personal Health;Personal Choice;Relationship Status (or lack thereof),Christian
261,19-24,Male,Single,10,Bachelor,,Canadian/Indian,3,One,Zero,One,8,,Hindu
114,0-18,Male,In a relationship,5,Master,"$100,000 � $149,999",Chinese ,3,Zero,Zero,Two,5,Personal Health;Income;Time/Help Availability;Personal Choice;Relationship Status (or lack thereof);Employment Status;Significant Other�s Opinion;Religion,Christian
57,0-18,Female,Single,7,No High School Diploma,"Under $50,000",Latin culture ,3,Four,Zero,Zero,3,Personal Choice;Relationship Status (or lack thereof);Time/Help Availability;Personal Health;Income;Employment Status;Significant Other�s Opinion;Religion;,Christian
73,0-18,Female,Single,7,High School Diploma,"$50,000 � $74,999",Canada,3,Zero,Zero,Zero,4,Personal Health;Income;Time/Help Availability;Religion;Personal Choice;Employment Status;Significant Other�s Opinion;Relationship Status (or lack thereof);,Christian
298,0-18,Male,Single,6,No High School Diploma,"$100,000 � $149,999",Canadian,3,Two,Zero,Zero,3,Personal Choice;Significant Other�s Opinion;Personal Health;Income;Employment Status;Time/Help Availability;Relationship Status (or lack thereof);Religion,Hindu
315,35-39,Male,Single,15,Bachelor,"Under $50,000",Canada/Canadian,3,Two,Zero,Three,1,Income;Religion;Personal Choice;Time/Help Availability;Employment Status;Relationship Status (or lack thereof);Personal Health;Significant Other�s Opinion,Christian
168,30-34,Female,Common-law,1,Trades: Journeyman,"$200,000 � $249,999",Canada,4,Two,Zero,One,15,Significant Other�s Opinion;Income;Employment Status;Personal Choice;Relationship Status (or lack thereof);Time/Help Availability;Personal Health;Religion,
52,19-24,Male,Single,1,Bachelor,"$150,000 � $199,999",Canada,4,Two,Zero,One,9,Income;Employment Status;Relationship Status (or lack thereof);Personal Choice;Time/Help Availability;Personal Health;Significant Other�s Opinion;Religion;,Agnostic
75,50-54,Male,Married,2,Master,"$75,000 � $99,999",Korean ,4,Three,Three,Three,2,Income;Religion;Personal Choice;Employment Status;Significant Other�s Opinion;Relationship Status (or lack thereof);Time/Help Availability;Personal Health;,Christian
203,30-34,Female,Married,5,Bachelor,"$150,000 � $199,999",Canada ,4,Two,One,Two,15,Personal Choice;Income;Religion;Personal Health;Time/Help Availability;Employment Status;Significant Other�s Opinion;Relationship Status (or lack thereof),Catholic
180,45-49,Female,Divorced,12,High School Diploma,"$50,000 � $74,999",Canadian,4,One,Zero,Two,7,Personal Choice;Employment Status;Religion;Income;Time/Help Availability;Relationship Status (or lack thereof);Significant Other�s Opinion;Personal Health,Jewish
95,0-18,Female,Single,10,No High School Diploma,,Canada/Canadian,4,Two,Zero,Two,9,Income;Personal Choice;Significant Other�s Opinion;Time/Help Availability;Personal Health;Relationship Status (or lack thereof);Religion;Employment Status;,Catholic
220,40-44,Female,Married,6,Trades: Red Seal,"$200,000 � $249,999",Canadian ,4,Two,Two,Zero,15,Income;Religion;Employment Status;Relationship Status (or lack thereof);Significant Other�s Opinion;Personal Choice;Time/Help Availability;Personal Health,Agnostic
51,0-18,Female,Single,8,No High School Diploma,"Under $50,000",,4,Four,Zero,Zero,7,Time/Help Availability;Personal Choice;Relationship Status (or lack thereof);Employment Status;Income;Significant Other�s Opinion;Personal Health;Religion;,Christian
306,19-24,Female,In a relationship,1,Bachelor,"$50,000 � $74,999",Korea,4,One,Zero,Zero,10,Personal Choice;Significant Other�s Opinion;Time/Help Availability;Income;Personal Health;Employment Status;Relationship Status (or lack thereof);Religion,Atheist
328,19-24,Female,In a relationship,1,High School Diploma,"$50,000 � $74,999",Canadian,4,Two,Zero,Two,11,Personal Choice;Significant Other�s Opinion;Income;Personal Health;Religion;Time/Help Availability;Employment Status;Relationship Status (or lack thereof),Atheist
106,30-34,Male,Common-law,10,Trades: Red Seal,"$100,000 � $149,999",Canadian,5,Three,Two,One,1,Significant Other�s Opinion;Income;Employment Status;Relationship Status (or lack thereof);Religion;Personal Choice;Personal Health;Time/Help Availability,Christian
274,50-54,Female,Married,5,Master,"$100,000 � $149,999",,5,Two,Three,One,2,,
11,0-18,Male,Single,4,No High School Diploma,"$75,000 � $99,999",Canada,5,One,Zero,One,3,Personal Choice;Relationship Status (or lack thereof);Income;Employment Status;Personal Health;Religion;Time/Help Availability;Significant Other�s Opinion;,Agnostic
139,0-18,Female,Married,1,No High School Diploma,"Under $50,000",Albania,5,One,Zero,One,3,Income;Employment Status;Relationship Status (or lack thereof);Time/Help Availability;Personal Choice;Personal Health;Significant Other�s Opinion;Religion,
141,19-24,Female,Married,10,High School Diploma,"$100,000 � $149,999",Canadian,5,One,Zero,One,3,Income;Religion;Personal Choice;Time/Help Availability;Relationship Status (or lack thereof);Significant Other�s Opinion;Personal Health;Employment Status,Jewish
37,0-18,Female,Single,1,High School Diploma,"$100,000 � $149,999",Canadian,5,Zero,Zero,One,5,Personal Health;Personal Choice;Income;Employment Status;Relationship Status (or lack thereof);Time/Help Availability;Significant Other�s Opinion;Religion;,
266,19-24,Male,Single,1,High School Diploma,"Under $50,000",Canadian ,5,One,Zero,One,7,Income;Employment Status;Significant Other�s Opinion;Personal Health;Time/Help Availability;Relationship Status (or lack thereof);Personal Choice;Religion,Atheist
38,0-18,Female,Single,2,High School Diploma,"$200,000 � $249,999",Canada,5,Two,Zero,One,8,Personal Health;Income;Employment Status;Time/Help Availability;Personal Choice;Relationship Status (or lack thereof);Significant Other�s Opinion;Religion;,Atheist
107,25-29,Female,Common-law,5,Bachelor,"$50,000 � $74,999",Canada,5,Two,Zero,Seven or more,12,Personal Choice;Significant Other�s Opinion;Personal Health;Income;Employment Status;Time/Help Availability;Relationship Status (or lack thereof);Religion,Buddhist
66,30-34,Female,In a relationship,1,Bachelor,"$75,000 � $99,999",Canada,5,Two,Zero,Two,10,Personal Choice;Significant Other�s Opinion;Income;Personal Health;Time/Help Availability;Employment Status;Relationship Status (or lack thereof);Religion;,Atheist
15,35-39,Male,Married,1,Bachelor,"$150,000 � $199,999",Canada,5,Two,One,Two,13,Significant Other�s Opinion;Income;Personal Choice;Time/Help Availability;Personal Health;Employment Status;Relationship Status (or lack thereof);Religion;,Agnostic
41,45-49,Female,Married,15,Trades: Apprentice,"Above $300,000",Canada,5,Two,Two,Two,14,Income;Religion;Relationship Status (or lack thereof);Time/Help Availability;Employment Status;Personal Choice;Personal Health;Significant Other�s Opinion;,Sikh
156,55-59,Female,Single,1,Master,"$50,000 � $74,999",European,5,One,Two,Two,3,Personal Choice;Income;Significant Other�s Opinion;Relationship Status (or lack thereof);Time/Help Availability;Employment Status;Religion;Personal Health,
71,30-34,Male,Married,1,High School Diploma,"$200,000 � $249,999",Canada,5,Zero,Two,Two,4,Significant Other�s Opinion;Personal Choice;Income;Time/Help Availability;Employment Status;Relationship Status (or lack thereof);Personal Health;Religion;,Atheist
235,0-18,Female,Single,10,No High School Diploma,"Under $50,000",Canada/Canadian ,5,One,Zero,Two,5,Personal Choice;Significant Other�s Opinion;Income;Relationship Status (or lack thereof);Personal Health;Religion;Employment Status;Time/Help Availability,Catholic
163,0-18,Female,Single,9,No High School Diploma,"Under $50,000",Canada ,5,One,One,Zero,4,Personal Choice;Personal Health;Income;Time/Help Availability;Employment Status;Religion;Relationship Status (or lack thereof);Significant Other�s Opinion,Sikh
42,30-34,Male,Married,1,Bachelor,"Above $300,000",Mexican,5,One,Zero,Zero,9,Employment Status;Income;Significant Other�s Opinion;Relationship Status (or lack thereof);Personal Choice;Time/Help Availability;Personal Health;Religion;,Catholic
303,30-34,Female,Single,3,Bachelor,"Under $50,000",South Korea ,5,Zero,Zero,Zero,5,Income;Relationship Status (or lack thereof);Employment Status;Religion;Personal Choice;Personal Health;Time/Help Availability;Significant Other�s Opinion,None
8,0-18,Female,Single,10,No High School Diploma,"Under $50,000",American ,6,Two,Zero,One,15,Personal Health;Personal Choice;Income;Significant Other�s Opinion;Time/Help Availability;Employment Status;Relationship Status (or lack thereof);Religion;,Christian
124,0-18,Male,Single,3,No High School Diploma,"$150,000 � $199,999",Canadian,6,Two,Zero,One,6,Personal Choice;Significant Other�s Opinion;Personal Health;Income;Time/Help Availability;Relationship Status (or lack thereof);Employment Status;Religion,Agnostic
252,0-18,Female,Single,4,No High School Diploma,"$200,000 � $249,999",Chinese,6,Three,Zero,Two,13,Personal Choice;Income;Employment Status;Relationship Status (or lack thereof);Time/Help Availability;Personal Health;Religion;Significant Other�s Opinion,Spiritual
236,55-59,Female,Married,8,Master,"$100,000 � $149,999",Scottish,6,Two,Two,Two,15,Personal Choice;Significant Other�s Opinion;Personal Health;Employment Status;Relationship Status (or lack thereof);Income;Religion;Time/Help Availability,Christian
130,0-18,Female,Single,1,No High School Diploma,"$50,000 � $74,999",Canada,6,Two,Zero,Zero,5,Personal Health;Income;Personal Choice;Time/Help Availability;Employment Status;Significant Other�s Opinion;Relationship Status (or lack thereof);Religion,Atheist
286,0-18,Female,In a relationship,7,High School Diploma,"Under $50,000",Canadian/Italian,6,Two,Zero,Two,,Personal Choice;Income;Religion;Employment Status;Relationship Status (or lack thereof);Time/Help Availability;Personal Health;Significant Other�s Opinion,Catholic
307,0-18,Female,In a relationship,5,No High School Diploma,"Under $50,000",Phillipines ,6,Two,Zero,One,8,,Catholic
310,45-49,Male,Married,8,Bachelor,"$75,000 � $99,999",Canada/Canadian,6,Two,One,Three,6,Income;Religion;Personal Choice;Time/Help Availability;Personal Health;Significant Other�s Opinion;Relationship Status (or lack thereof);Employment Status,Christian
234,0-18,Male,Single,1,No High School Diploma,"$200,000 � $249,999",,7,Zero,Four,Four,15,Income;Employment Status;Relationship Status (or lack thereof);Personal Choice;Time/Help Availability;Religion;Personal Health;Significant Other�s Opinion,
104,19-24,Female,Single,2,High School Diploma,"Under $50,000",Vanada,7,Two,Zero,One,11,Religion;Relationship Status (or lack thereof);Personal Choice;Time/Help Availability;Employment Status;Significant Other�s Opinion;Personal Health;Income,
270,70+,Male,Married,12,Master,"$75,000 � $99,999",Canadian,7,One,One,One,11,Income;Personal Health;Relationship Status (or lack thereof);Religion;Personal Choice;Time/Help Availability;Significant Other�s Opinion;Employment Status,Buddhist
125,0-18,Male,Single,1,No High School Diploma,"$150,000 � $199,999",Canadian,7,One,Zero,One,6,Personal Choice;Time/Help Availability;Employment Status;Personal Health;Income;Relationship Status (or lack thereof);Significant Other�s Opinion;Religion,Atheist
39,0-18,Female,Single,1,High School Diploma,"$100,000 � $149,999",canada,7,Two,Zero,Two,1,Income;Relationship Status (or lack thereof);Employment Status;Personal Choice;Time/Help Availability;Personal Health;Significant Other�s Opinion;Religion;,Atheist
133,19-24,Male,Single,4,High School Diploma,"$50,000 � $74,999",America/American,7,Two,Zero,Two,10,Relationship Status (or lack thereof);Significant Other�s Opinion;Time/Help Availability;Income;Employment Status;Personal Choice;Personal Health;Religion,Atheist
82,25-29,Female,Single,7,Master,"Under $50,000",Pakistan ,7,Two,Zero,Two,15,Personal Choice;Personal Health;Income;Time/Help Availability;Employment Status;Significant Other�s Opinion;Relationship Status (or lack thereof);Religion;,Muslim/Islam
140,0-18,Male,Married,5,High School Diploma,"Under $50,000",Canada,7,Two,Zero,Two,3,Income;Relationship Status (or lack thereof);Employment Status;Time/Help Availability;Significant Other�s Opinion;Personal Choice;Personal Health;Religion,Christian
7,0-18,Female,Single,3,No High School Diploma,,Korean,7,Two,Zero,Two,6,Income;Employment Status;Relationship Status (or lack thereof);Personal Health;Personal Choice;Time/Help Availability;Significant Other�s Opinion;Religion;,
278,30-34,Female,Common-law,1,Bachelor,"Under $50,000",Canada,7,Two,Zero,One,6,Religion;Income;Employment Status;Relationship Status (or lack thereof);Personal Choice;Time/Help Availability;Personal Health;Significant Other�s Opinion,Agnostic
285,70+,Female,Single,2,Master,"$50,000 � $74,999",Canadian American ,7,Five,Two,One,5,,Spiritual
289,0-18,Female,Single,5,No High School Diploma,"$150,000 � $199,999",India,7,Two,Zero,Zero,7,Income;Employment Status;Significant Other�s Opinion;Time/Help Availability;Personal Choice;Relationship Status (or lack thereof);Personal Health;Religion,Hindu
221,19-24,Male,Single,15,High School Diploma,"$50,000 � $74,999",Filipino Canadian,8,Two,Zero,One,1,Religion;Employment Status;Relationship Status (or lack thereof);Income;Personal Choice;Time/Help Availability;Personal Health;Significant Other�s Opinion,Catholic
127,0-18,Male,Single,8,No High School Diploma,"$250,000 � $299,999",The Philippines,8,Two,Zero,One,10,Income;Religion;Employment Status;Relationship Status (or lack thereof);Personal Choice;Time/Help Availability;Personal Health;Significant Other�s Opinion,Catholic
253,25-29,Female,Single,1,High School Diploma,"$50,000 � $74,999",Vietnamese/Canadian ,8,Two,Zero,One,15,Personal Health;Income;Personal Choice;Employment Status;Relationship Status (or lack thereof);Time/Help Availability;Significant Other�s Opinion;Religion,
233,0-18,Plastic bag,Married,1,PhD,"Above $300,000",Zanbian,8,Six,Six,Seven or more,11,Employment Status;Personal Choice;Income;Religion;Time/Help Availability;Relationship Status (or lack thereof);Personal Health;Significant Other�s Opinion,
17,25-29,Male,Single,12,Bachelor,"Under $50,000",Filipino,8,Three,Zero,Three,10,Personal Choice;Income;Employment Status;Significant Other�s Opinion;Relationship Status (or lack thereof);Religion;Personal Health;Time/Help Availability;,Christian
243,50-54,Female,Married,10,Master,"$50,000 � $74,999",,8,Three,Two,Three,12,Personal Choice;Relationship Status (or lack thereof);Personal Health;Time/Help Availability;Employment Status;Income;Religion;Significant Other�s Opinion,Christian
268,40-44,Female,Married,1,High School Diploma,"$75,000 � $99,999",canadian,8,,Two,Two,10,,Atheist
16,19-24,Male,Single,13,Bachelor,"$50,000 � $74,999",Korean,8,Two,Zero,Two,8,Personal Choice;Income;Time/Help Availability;Employment Status;Relationship Status (or lack thereof);Personal Health;Significant Other�s Opinion;Religion;,Christian
174,19-24,Male,In a relationship,1,High School Diploma,"$50,000 � $74,999",Canada,8,Two,Zero,Two,9,Income;Significant Other�s Opinion;Relationship Status (or lack thereof);Personal Health;Personal Choice;Time/Help Availability;Employment Status;Religion,Atheist
277,30-34,Female,Single,1,Bachelor,"Under $50,000",Korea/Korean,8,One,Zero,One,7,Income;Relationship Status (or lack thereof);Personal Health;Employment Status;Time/Help Availability;Personal Choice;Significant Other�s Opinion;Religion,Atheist
280,40-44,Female,Married,8,High School Diploma,"$100,000 � $149,999",Canada/ Canadian,8,Two,Two,Three,15,Personal Choice;Relationship Status (or lack thereof);Employment Status;Income;Time/Help Availability;Personal Health;Significant Other�s Opinion;Religion,Agnostic
189,45-49,Female,Married,11,High School Diploma,,,9,Two,Two,One,10,Time/Help Availability;Income;Personal Health;Religion;Employment Status;Personal Choice;Relationship Status (or lack thereof);Significant Other�s Opinion,Catholic
248,25-29,Female,In a relationship,6,Master,"$50,000 � $74,999",Canadian,9,Two,Zero,One,10,Personal Choice;Relationship Status (or lack thereof);Time/Help Availability;Personal Health;Employment Status;Income;Significant Other�s Opinion;Religion,
250,0-18,Female,Single,9,No High School Diploma,"$50,000 � $74,999",Indian/canadian,9,Three,One,One,10,,Hindu
262,25-29,Male,Married,5,Master,"$250,000 � $299,999",Canadian,9,Two,Zero,One,13,Income;Significant Other�s Opinion;Relationship Status (or lack thereof);Time/Help Availability;Personal Health;Personal Choice;Employment Status;Religion,Hindu
2,0-18,Female,Single,10,No High School Diploma,"$75,000 � $99,999",Canada/Chinese,9,Two,Zero,One,5,Personal Health;Relationship Status (or lack thereof);Personal Choice;Income;Employment Status;Religion;Time/Help Availability;Significant Other�s Opinion;,Christian
126,0-18,Male,Single,1,No High School Diploma,"$50,000 � $74,999",Canadian metis ,9,Two,Zero,One,5,Personal Choice;Time/Help Availability;Personal Health;Relationship Status (or lack thereof);Significant Other�s Opinion;Income;Religion;Employment Status,None
182,25-29,Female,Single,1,Bachelor,"$100,000 � $149,999",Canadian ,9,Two,Zero,One,5,Income;Relationship Status (or lack thereof);Significant Other�s Opinion;Employment Status;Time/Help Availability;Personal Choice;Personal Health;Religion,
28,19-24,Male,In a relationship,8,Trades: Apprentice,"Above $300,000",Candain,9,Three,Zero,Two,15,Significant Other�s Opinion;Personal Choice;Personal Health;Relationship Status (or lack thereof);Income;Time/Help Availability;Employment Status;Religion;,Christian
68,30-34,Male,Married,3,Master,"$150,000 � $199,999",Canada,9,Three,Three,Two,7,Relationship Status (or lack thereof);Income;Personal Choice;Time/Help Availability;Employment Status;Significant Other�s Opinion;Personal Health;Religion;,Christian
246,0-18,Female,Single,5,No High School Diploma,"Under $50,000",Canadian,9,Two,Zero,Zero,13,Personal Choice;Significant Other�s Opinion;Income;Employment Status;Personal Health;Time/Help Availability;Relationship Status (or lack thereof);Religion,Agnostic
279,25-29,Male,Single,1,Bachelor,"$50,000 � $74,999",Canada/Korean,9,Two,Zero,Zero,1,Significant Other�s Opinion;Religion;Relationship Status (or lack thereof);Time/Help Availability;Personal Choice;Personal Health;Employment Status;Income,Atheist
290,0-18,Male,Single,10,No High School Diploma,"Under $50,000",India,9,One,Zero,Three,10,Religion;Income;Relationship Status (or lack thereof);Employment Status;Personal Choice;Time/Help Availability;Personal Health;Significant Other�s Opinion,Catholic
323,35-39,Female,Married,1,Bachelor,"Above $300,000",Korean,9,One,Zero,One,15,Personal Choice;Personal Health;Income;Relationship Status (or lack thereof);Time/Help Availability;Employment Status;Significant Other�s Opinion;Religion,Agnostic
320,0-18,Male,Single,1,No High School Diploma,"$50,000 � $74,999",Canada,,,,,,Income;Religion;Employment Status;Relationship Status (or lack thereof);Personal Choice;Time/Help Availability;Personal Health;Significant Other�s Opinion,None
